x,math.h,cos_taylor
-5,0.284,2.528
-4.999,0.283,2.523
-4.998,0.282,2.518
-4.997,0.281,2.513
-4.996,0.28,2.507
-4.995,0.279,2.502
-4.994,0.278,2.497
-4.993,0.277,2.492
-4.992,0.276,2.486
-4.991,0.275,2.481
-4.99,0.274,2.476
-4.989,0.273,2.471
-4.988,0.272,2.465
-4.987,0.271,2.46
-4.986,0.27,2.455
-4.985,0.269,2.45
-4.984,0.268,2.445
-4.983,0.267,2.439
-4.982,0.266,2.434
-4.981,0.265,2.429
-4.98,0.264,2.424
-4.979,0.263,2.419
-4.978,0.262,2.414
-4.977,0.262,2.409
-4.976,0.261,2.403
-4.975,0.26,2.398
-4.974,0.259,2.393
-4.973,0.258,2.388
-4.972,0.257,2.383
-4.971,0.256,2.378
-4.97,0.255,2.373
-4.969,0.254,2.368
-4.968,0.253,2.363
-4.967,0.252,2.358
-4.966,0.251,2.353
-4.965,0.25,2.347
-4.964,0.249,2.342
-4.963,0.248,2.337
-4.962,0.247,2.332
-4.961,0.246,2.327
-4.96,0.245,2.322
-4.959,0.244,2.317
-4.958,0.243,2.312
-4.957,0.242,2.307
-4.956,0.241,2.302
-4.955,0.24,2.297
-4.954,0.239,2.292
-4.953,0.238,2.287
-4.952,0.237,2.282
-4.951,0.236,2.277
-4.95,0.235,2.273
-4.949,0.234,2.268
-4.948,0.233,2.263
-4.947,0.232,2.258
-4.946,0.231,2.253
-4.945,0.231,2.248
-4.944,0.23,2.243
-4.943,0.229,2.238
-4.942,0.228,2.233
-4.941,0.227,2.228
-4.94,0.226,2.223
-4.939,0.225,2.218
-4.938,0.224,2.214
-4.937,0.223,2.209
-4.936,0.222,2.204
-4.935,0.221,2.199
-4.934,0.22,2.194
-4.933,0.219,2.189
-4.932,0.218,2.185
-4.931,0.217,2.18
-4.93,0.216,2.175
-4.929,0.215,2.17
-4.928,0.214,2.165
-4.927,0.213,2.16
-4.926,0.212,2.156
-4.925,0.211,2.151
-4.924,0.21,2.146
-4.923,0.209,2.141
-4.922,0.208,2.137
-4.921,0.207,2.132
-4.92,0.206,2.127
-4.919,0.205,2.122
-4.918,0.204,2.118
-4.917,0.203,2.113
-4.916,0.202,2.108
-4.915,0.201,2.103
-4.914,0.2,2.099
-4.913,0.199,2.094
-4.912,0.198,2.089
-4.911,0.197,2.085
-4.91,0.196,2.08
-4.909,0.195,2.075
-4.908,0.194,2.07
-4.907,0.193,2.066
-4.906,0.192,2.061
-4.905,0.191,2.056
-4.904,0.19,2.052
-4.903,0.189,2.047
-4.902,0.188,2.043
-4.901,0.187,2.038
-4.9,0.187,2.033
-4.899,0.186,2.029
-4.898,0.185,2.024
-4.897,0.184,2.019
-4.896,0.183,2.015
-4.895,0.182,2.01
-4.894,0.181,2.006
-4.893,0.18,2.001
-4.892,0.179,1.996
-4.891,0.178,1.992
-4.89,0.177,1.987
-4.889,0.176,1.983
-4.888,0.175,1.978
-4.887,0.174,1.974
-4.886,0.173,1.969
-4.885,0.172,1.965
-4.884,0.171,1.96
-4.883,0.17,1.956
-4.882,0.169,1.951
-4.881,0.168,1.947
-4.88,0.167,1.942
-4.879,0.166,1.938
-4.878,0.165,1.933
-4.877,0.164,1.929
-4.876,0.163,1.924
-4.875,0.162,1.92
-4.874,0.161,1.915
-4.873,0.16,1.911
-4.872,0.159,1.906
-4.871,0.158,1.902
-4.87,0.157,1.897
-4.869,0.156,1.893
-4.868,0.155,1.888
-4.867,0.154,1.884
-4.866,0.153,1.88
-4.865,0.152,1.875
-4.864,0.151,1.871
-4.863,0.15,1.866
-4.862,0.149,1.862
-4.861,0.148,1.858
-4.86,0.147,1.853
-4.859,0.146,1.849
-4.858,0.145,1.844
-4.857,0.144,1.84
-4.856,0.143,1.836
-4.855,0.142,1.831
-4.854,0.141,1.827
-4.853,0.14,1.823
-4.852,0.139,1.818
-4.851,0.138,1.814
-4.85,0.137,1.81
-4.849,0.136,1.805
-4.848,0.135,1.801
-4.847,0.134,1.797
-4.846,0.133,1.792
-4.845,0.132,1.788
-4.844,0.131,1.784
-4.843,0.13,1.779
-4.842,0.129,1.775
-4.841,0.128,1.771
-4.84,0.127,1.767
-4.839,0.126,1.762
-4.838,0.125,1.758
-4.837,0.124,1.754
-4.836,0.123,1.75
-4.835,0.122,1.745
-4.834,0.121,1.741
-4.833,0.12,1.737
-4.832,0.119,1.733
-4.831,0.118,1.728
-4.83,0.117,1.724
-4.829,0.116,1.72
-4.828,0.115,1.716
-4.827,0.114,1.712
-4.826,0.113,1.707
-4.825,0.112,1.703
-4.824,0.111,1.699
-4.823,0.11,1.695
-4.822,0.109,1.691
-4.821,0.108,1.687
-4.82,0.107,1.682
-4.819,0.106,1.678
-4.818,0.105,1.674
-4.817,0.104,1.67
-4.816,0.103,1.666
-4.815,0.102,1.662
-4.814,0.101,1.658
-4.813,0.1,1.653
-4.812,0.099,1.649
-4.811,0.098,1.645
-4.81,0.097,1.641
-4.809,0.096,1.637
-4.808,0.095,1.633
-4.807,0.094,1.629
-4.806,0.093,1.625
-4.805,0.092,1.621
-4.804,0.091,1.617
-4.803,0.09,1.613
-4.802,0.089,1.608
-4.801,0.088,1.604
-4.8,0.087,1.6
-4.799,0.087,1.596
-4.798,0.086,1.592
-4.797,0.085,1.588
-4.796,0.084,1.584
-4.795,0.083,1.58
-4.794,0.082,1.576
-4.793,0.081,1.572
-4.792,0.08,1.568
-4.791,0.079,1.564
-4.79,0.078,1.56
-4.789,0.077,1.556
-4.788,0.076,1.552
-4.787,0.075,1.548
-4.786,0.074,1.544
-4.785,0.073,1.54
-4.784,0.072,1.536
-4.783,0.071,1.532
-4.782,0.07,1.528
-4.781,0.069,1.524
-4.78,0.068,1.521
-4.779,0.067,1.517
-4.778,0.066,1.513
-4.777,0.065,1.509
-4.776,0.064,1.505
-4.775,0.063,1.501
-4.774,0.062,1.497
-4.773,0.061,1.493
-4.772,0.06,1.489
-4.771,0.059,1.485
-4.77,0.058,1.481
-4.769,0.057,1.477
-4.768,0.056,1.474
-4.767,0.055,1.47
-4.766,0.054,1.466
-4.765,0.053,1.462
-4.764,0.052,1.458
-4.763,0.051,1.454
-4.762,0.05,1.45
-4.761,0.049,1.447
-4.76,0.048,1.443
-4.759,0.047,1.439
-4.758,0.046,1.435
-4.757,0.045,1.431
-4.756,0.044,1.427
-4.755,0.043,1.424
-4.754,0.042,1.42
-4.753,0.041,1.416
-4.752,0.04,1.412
-4.751,0.039,1.408
-4.75,0.038,1.405
-4.749,0.037,1.401
-4.748,0.036,1.397
-4.747,0.035,1.393
-4.746,0.034,1.39
-4.745,0.033,1.386
-4.744,0.032,1.382
-4.743,0.031,1.378
-4.742,0.03,1.375
-4.741,0.029,1.371
-4.74,0.028,1.367
-4.739,0.027,1.363
-4.738,0.026,1.36
-4.737,0.025,1.356
-4.736,0.024,1.352
-4.735,0.023,1.348
-4.734,0.022,1.345
-4.733,0.021,1.341
-4.732,0.02,1.337
-4.731,0.019,1.334
-4.73,0.018,1.33
-4.729,0.017,1.326
-4.728,0.016,1.323
-4.727,0.015,1.319
-4.726,0.014,1.315
-4.725,0.013,1.312
-4.724,0.012,1.308
-4.723,0.011,1.304
-4.722,0.01,1.301
-4.721,0.009,1.297
-4.72,0.008,1.293
-4.719,0.007,1.29
-4.718,0.006,1.286
-4.717,0.005,1.282
-4.716,0.004,1.279
-4.715,0.003,1.275
-4.714,0.002,1.272
-4.713,0.001,1.268
-4.712,0,1.264
-4.711,-0.001,1.261
-4.71,-0.002,1.257
-4.709,-0.003,1.254
-4.708,-0.004,1.25
-4.707,-0.005,1.246
-4.706,-0.006,1.243
-4.705,-0.007,1.239
-4.704,-0.008,1.236
-4.703,-0.009,1.232
-4.702,-0.01,1.229
-4.701,-0.011,1.225
-4.7,-0.012,1.221
-4.699,-0.013,1.218
-4.698,-0.014,1.214
-4.697,-0.015,1.211
-4.696,-0.016,1.207
-4.695,-0.017,1.204
-4.694,-0.018,1.2
-4.693,-0.019,1.197
-4.692,-0.02,1.193
-4.691,-0.021,1.19
-4.69,-0.022,1.186
-4.689,-0.023,1.183
-4.688,-0.024,1.179
-4.687,-0.025,1.176
-4.686,-0.026,1.172
-4.685,-0.027,1.169
-4.684,-0.028,1.165
-4.683,-0.029,1.162
-4.682,-0.03,1.158
-4.681,-0.031,1.155
-4.68,-0.032,1.152
-4.679,-0.033,1.148
-4.678,-0.034,1.145
-4.677,-0.035,1.141
-4.676,-0.036,1.138
-4.675,-0.037,1.134
-4.674,-0.038,1.131
-4.673,-0.039,1.127
-4.672,-0.04,1.124
-4.671,-0.041,1.121
-4.67,-0.042,1.117
-4.669,-0.043,1.114
-4.668,-0.044,1.11
-4.667,-0.045,1.107
-4.666,-0.046,1.104
-4.665,-0.047,1.1
-4.664,-0.048,1.097
-4.663,-0.049,1.093
-4.662,-0.05,1.09
-4.661,-0.051,1.087
-4.66,-0.052,1.083
-4.659,-0.053,1.08
-4.658,-0.054,1.077
-4.657,-0.055,1.073
-4.656,-0.056,1.07
-4.655,-0.057,1.067
-4.654,-0.058,1.063
-4.653,-0.059,1.06
-4.652,-0.06,1.057
-4.651,-0.061,1.053
-4.65,-0.062,1.05
-4.649,-0.063,1.047
-4.648,-0.064,1.043
-4.647,-0.065,1.04
-4.646,-0.066,1.037
-4.645,-0.067,1.033
-4.644,-0.068,1.03
-4.643,-0.069,1.027
-4.642,-0.07,1.024
-4.641,-0.071,1.02
-4.64,-0.072,1.017
-4.639,-0.073,1.014
-4.638,-0.074,1.01
-4.637,-0.075,1.007
-4.636,-0.076,1.004
-4.635,-0.077,1.001
-4.634,-0.078,0.997
-4.633,-0.079,0.994
-4.632,-0.08,0.991
-4.631,-0.081,0.988
-4.63,-0.082,0.984
-4.629,-0.083,0.981
-4.628,-0.084,0.978
-4.627,-0.085,0.975
-4.626,-0.086,0.972
-4.625,-0.087,0.968
-4.624,-0.088,0.965
-4.623,-0.089,0.962
-4.622,-0.09,0.959
-4.621,-0.091,0.956
-4.62,-0.092,0.952
-4.619,-0.093,0.949
-4.618,-0.094,0.946
-4.617,-0.095,0.943
-4.616,-0.096,0.94
-4.615,-0.097,0.937
-4.614,-0.098,0.933
-4.613,-0.099,0.93
-4.612,-0.1,0.927
-4.611,-0.101,0.924
-4.61,-0.102,0.921
-4.609,-0.103,0.918
-4.608,-0.104,0.914
-4.607,-0.105,0.911
-4.606,-0.106,0.908
-4.605,-0.107,0.905
-4.604,-0.108,0.902
-4.603,-0.109,0.899
-4.602,-0.11,0.896
-4.601,-0.111,0.893
-4.6,-0.112,0.889
-4.599,-0.113,0.886
-4.598,-0.114,0.883
-4.597,-0.115,0.88
-4.596,-0.116,0.877
-4.595,-0.117,0.874
-4.594,-0.118,0.871
-4.593,-0.119,0.868
-4.592,-0.12,0.865
-4.591,-0.121,0.862
-4.59,-0.122,0.859
-4.589,-0.123,0.856
-4.588,-0.124,0.852
-4.587,-0.125,0.849
-4.586,-0.126,0.846
-4.585,-0.127,0.843
-4.584,-0.128,0.84
-4.583,-0.129,0.837
-4.582,-0.13,0.834
-4.581,-0.131,0.831
-4.58,-0.132,0.828
-4.579,-0.133,0.825
-4.578,-0.134,0.822
-4.577,-0.135,0.819
-4.576,-0.136,0.816
-4.575,-0.137,0.813
-4.574,-0.138,0.81
-4.573,-0.139,0.807
-4.572,-0.14,0.804
-4.571,-0.141,0.801
-4.57,-0.142,0.798
-4.569,-0.143,0.795
-4.568,-0.144,0.792
-4.567,-0.145,0.789
-4.566,-0.146,0.786
-4.565,-0.147,0.783
-4.564,-0.148,0.78
-4.563,-0.149,0.777
-4.562,-0.15,0.774
-4.561,-0.151,0.771
-4.56,-0.152,0.768
-4.559,-0.153,0.765
-4.558,-0.154,0.763
-4.557,-0.155,0.76
-4.556,-0.156,0.757
-4.555,-0.157,0.754
-4.554,-0.158,0.751
-4.553,-0.159,0.748
-4.552,-0.16,0.745
-4.551,-0.161,0.742
-4.55,-0.162,0.739
-4.549,-0.163,0.736
-4.548,-0.164,0.733
-4.547,-0.165,0.73
-4.546,-0.166,0.728
-4.545,-0.167,0.725
-4.544,-0.168,0.722
-4.543,-0.169,0.719
-4.542,-0.17,0.716
-4.541,-0.171,0.713
-4.54,-0.172,0.71
-4.539,-0.173,0.707
-4.538,-0.174,0.704
-4.537,-0.174,0.702
-4.536,-0.175,0.699
-4.535,-0.176,0.696
-4.534,-0.177,0.693
-4.533,-0.178,0.69
-4.532,-0.179,0.687
-4.531,-0.18,0.685
-4.53,-0.181,0.682
-4.529,-0.182,0.679
-4.528,-0.183,0.676
-4.527,-0.184,0.673
-4.526,-0.185,0.67
-4.525,-0.186,0.668
-4.524,-0.187,0.665
-4.523,-0.188,0.662
-4.522,-0.189,0.659
-4.521,-0.19,0.656
-4.52,-0.191,0.654
-4.519,-0.192,0.651
-4.518,-0.193,0.648
-4.517,-0.194,0.645
-4.516,-0.195,0.642
-4.515,-0.196,0.64
-4.514,-0.197,0.637
-4.513,-0.198,0.634
-4.512,-0.199,0.631
-4.511,-0.2,0.629
-4.51,-0.201,0.626
-4.509,-0.202,0.623
-4.508,-0.203,0.62
-4.507,-0.204,0.618
-4.506,-0.205,0.615
-4.505,-0.206,0.612
-4.504,-0.207,0.609
-4.503,-0.208,0.607
-4.502,-0.209,0.604
-4.501,-0.21,0.601
-4.5,-0.211,0.598
-4.499,-0.212,0.596
-4.498,-0.213,0.593
-4.497,-0.214,0.59
-4.496,-0.215,0.587
-4.495,-0.216,0.585
-4.494,-0.217,0.582
-4.493,-0.218,0.579
-4.492,-0.219,0.577
-4.491,-0.22,0.574
-4.49,-0.221,0.571
-4.489,-0.222,0.569
-4.488,-0.223,0.566
-4.487,-0.223,0.563
-4.486,-0.224,0.561
-4.485,-0.225,0.558
-4.484,-0.226,0.555
-4.483,-0.227,0.553
-4.482,-0.228,0.55
-4.481,-0.229,0.547
-4.48,-0.23,0.545
-4.479,-0.231,0.542
-4.478,-0.232,0.539
-4.477,-0.233,0.537
-4.476,-0.234,0.534
-4.475,-0.235,0.531
-4.474,-0.236,0.529
-4.473,-0.237,0.526
-4.472,-0.238,0.523
-4.471,-0.239,0.521
-4.47,-0.24,0.518
-4.469,-0.241,0.516
-4.468,-0.242,0.513
-4.467,-0.243,0.51
-4.466,-0.244,0.508
-4.465,-0.245,0.505
-4.464,-0.246,0.503
-4.463,-0.247,0.5
-4.462,-0.248,0.497
-4.461,-0.249,0.495
-4.46,-0.25,0.492
-4.459,-0.251,0.49
-4.458,-0.252,0.487
-4.457,-0.253,0.484
-4.456,-0.254,0.482
-4.455,-0.255,0.479
-4.454,-0.256,0.477
-4.453,-0.256,0.474
-4.452,-0.257,0.472
-4.451,-0.258,0.469
-4.45,-0.259,0.467
-4.449,-0.26,0.464
-4.448,-0.261,0.461
-4.447,-0.262,0.459
-4.446,-0.263,0.456
-4.445,-0.264,0.454
-4.444,-0.265,0.451
-4.443,-0.266,0.449
-4.442,-0.267,0.446
-4.441,-0.268,0.444
-4.44,-0.269,0.441
-4.439,-0.27,0.439
-4.438,-0.271,0.436
-4.437,-0.272,0.434
-4.436,-0.273,0.431
-4.435,-0.274,0.429
-4.434,-0.275,0.426
-4.433,-0.276,0.424
-4.432,-0.277,0.421
-4.431,-0.278,0.419
-4.43,-0.279,0.416
-4.429,-0.28,0.414
-4.428,-0.281,0.411
-4.427,-0.282,0.409
-4.426,-0.282,0.406
-4.425,-0.283,0.404
-4.424,-0.284,0.401
-4.423,-0.285,0.399
-4.422,-0.286,0.396
-4.421,-0.287,0.394
-4.42,-0.288,0.391
-4.419,-0.289,0.389
-4.418,-0.29,0.387
-4.417,-0.291,0.384
-4.416,-0.292,0.382
-4.415,-0.293,0.379
-4.414,-0.294,0.377
-4.413,-0.295,0.374
-4.412,-0.296,0.372
